date	bac
1990-01-02	1.741302
1990-01-03	1.755306
1990-01-04	1.717961
1990-01-05	1.680613
1990-01-08	1.689950
1990-01-09	1.689950
1990-01-10	1.657272
1990-01-11	1.643267
1990-01-12	1.596583
1990-01-15	1.549899
1990-01-16	1.605919
1990-01-17	1.615256
1990-01-18	1.591914
1990-01-19	1.652602
1990-01-22	1.624593
1990-01-23	1.657272
1990-01-24	1.638598
1990-01-25	1.633930
1990-01-26	1.605919
1990-01-29	1.587246
1990-01-30	1.526557
1990-01-31	1.568572
1990-02-01	1.545230
1990-02-02	1.601251
1990-02-05	1.568572
1990-02-06	1.549899
1990-02-07	1.577909
1990-02-08	1.559235
1990-02-09	1.573241
1990-02-12	1.573241
1990-02-13	1.568572
1990-02-14	1.591914
1990-02-15	1.633930
1990-02-16	1.671277
1990-02-20	1.647935
1990-02-21	1.638598
1990-02-22	1.657272
1990-02-23	1.643267
1990-02-26	1.697271
1990-02-27	1.731023
1990-02-28	1.716556
1990-03-01	1.721379
1990-03-02	1.774419
1990-03-05	1.769597
1990-03-06	1.755132
1990-03-07	1.750310
1990-03-08	1.682804
1990-03-09	1.600835
1990-03-12	1.596012
1990-03-13	1.567082
1990-03-14	1.552616
1990-03-15	1.562259
1990-03-16	1.562259
1990-03-19	1.552616
1990-03-20	1.538151
1990-03-21	1.533329
1990-03-22	1.485111
1990-03-23	1.494755
1990-03-26	1.528507
1990-03-27	1.533329
1990-03-28	1.523686
1990-03-29	1.509220
1990-03-30	1.494755
1990-04-02	1.475468
1990-04-03	1.485111
1990-04-04	1.456180
1990-04-05	1.393497
1990-04-06	1.364567
1990-04-09	1.393497
1990-04-10	1.451358
1990-04-11	1.456180
1990-04-12	1.451358
1990-04-16	1.427250
1990-04-17	1.441716
1990-04-18	1.441716
1990-04-19	1.436894
1990-04-20	1.432072
1990-04-23	1.427250
1990-04-24	1.427250
1990-04-25	1.407963
1990-04-26	1.422429
1990-04-27	1.436894
1990-04-30	1.465824
1990-05-01	1.499576
1990-05-02	1.514042
1990-05-03	1.542972
1990-05-04	1.523686
1990-05-07	1.533329
1990-05-08	1.504399
1990-05-09	1.494755
1990-05-10	1.489933
1990-05-11	1.518864
1990-05-14	1.523686
1990-05-15	1.528507
1990-05-16	1.518864
1990-05-17	1.523686
1990-05-18	1.514042
1990-05-21	1.518864
1990-05-22	1.489933
1990-05-23	1.494755
1990-05-24	1.461003
1990-05-25	1.482031
1990-05-29	1.492045
1990-05-30	1.512072
1990-05-31	1.552127
1990-06-01	1.597189
1990-06-04	1.682305
1990-06-05	1.742388
1990-06-06	1.732375
1990-06-07	1.642251
1990-06-08	1.657272
1990-06-11	1.657272
1990-06-12	1.662279
1990-06-13	1.617217
1990-06-14	1.512072
1990-06-15	1.572155
1990-06-18	1.537107
1990-06-19	1.532100
1990-06-20	1.507065
1990-06-21	1.537107
1990-06-22	1.512072
1990-06-25	1.512072
1990-06-26	1.462004
1990-06-27	1.482031
1990-06-28	1.497053
1990-06-29	1.502059
1990-07-02	1.487038
1990-07-03	1.462004
1990-07-05	1.426956
1990-07-06	1.482031
1990-07-09	1.441977
1990-07-10	1.396914
1990-07-11	1.386901
1990-07-12	1.376887
1990-07-13	1.391907
1990-07-16	1.462004
1990-07-17	1.517080
1990-07-18	1.502059
1990-07-19	1.487038
1990-07-20	1.472017
1990-07-23	1.451990
1990-07-24	1.441977
1990-07-25	1.451990
1990-07-26	1.446983
1990-07-27	1.446983
1990-07-30	1.431963
1990-07-31	1.436970
1990-08-01	1.396914
1990-08-02	1.386901
1990-08-03	1.356860
1990-08-06	1.301784
1990-08-07	1.361866
1990-08-08	1.356860
1990-08-09	1.366874
1990-08-10	1.356860
1990-08-13	1.376887
1990-08-14	1.366874
1990-08-15	1.381894
1990-08-16	1.361866
1990-08-17	1.356860
1990-08-20	1.381894
1990-08-21	1.351853
1990-08-22	1.276750
1990-08-23	1.246709
1990-08-24	1.261730
1990-08-27	1.316804
1990-08-28	1.316804
1990-08-29	1.331825
1990-08-30	1.316804
1990-08-31	1.364917
1990-09-04	1.359687
1990-09-05	1.375375
1990-09-06	1.375375
1990-09-07	1.375375
1990-09-10	1.364917
1990-09-11	1.354457
1990-09-12	1.333539
1990-09-13	1.276014
1990-09-14	1.239408
1990-09-17	1.223719
1990-09-18	1.171423
1990-09-19	1.140046
1990-09-20	1.087749
1990-09-21	1.103439
1990-09-24	1.061602
1990-09-25	1.061602
1990-09-26	0.972699
1990-09-27	0.841960
1990-09-28	0.894256
1990-10-01	0.909945
1990-10-02	0.915174
1990-10-03	0.878567
1990-10-04	0.873337
1990-10-05	0.868108
1990-10-08	0.868108
1990-10-09	0.841960
1990-10-10	0.815812
1990-10-11	0.784435
1990-10-12	0.805354
1990-10-15	0.889026
1990-10-16	0.883797
1990-10-17	0.852419
1990-10-18	0.815812
1990-10-19	0.800123
1990-10-22	0.815812
1990-10-23	0.789664
1990-10-24	0.800123
1990-10-25	0.789664
1990-10-26	0.747828
1990-10-29	0.721680
1990-10-30	0.711221
1990-10-31	0.721680
1990-11-01	0.773976
1990-11-02	0.831501
1990-11-05	0.852419
1990-11-06	0.841960
1990-11-07	0.857649
1990-11-08	0.894256
1990-11-09	0.909945
1990-11-12	0.972699
1990-11-13	0.998847
1990-11-14	1.019765
1990-11-15	0.972699
1990-11-16	1.024995
1990-11-19	1.045913
1990-11-20	1.045913
1990-11-21	1.004077
1990-11-23	0.967470
1990-11-26	1.004077
1990-11-27	1.077290
1990-11-28	1.045913
1990-11-29	0.998847
1990-11-30	1.004077
1990-12-03	1.064491
1990-12-04	1.114650
1990-12-05	1.181529
1990-12-06	1.131370
1990-12-07	1.086784
1990-12-10	1.103503
1990-12-11	1.075637
1990-12-12	1.058917
1990-12-13	1.047771
1990-12-14	1.036624
1990-12-17	1.014332
1990-12-18	1.070064
1990-12-19	1.109077
1990-12-20	1.142516
1990-12-21	1.131370
1990-12-24	1.114650
1990-12-26	1.114650
1990-12-27	1.064491
1990-12-28	1.036624
1990-12-31	1.019905
1991-01-02	1.036624
1991-01-03	1.025478
1991-01-04	1.053344
1991-01-07	1.036624
1991-01-08	1.003185
1991-01-09	0.980892
1991-01-10	0.969746
1991-01-11	0.980892
1991-01-14	0.980892
1991-01-15	0.992038
1991-01-16	0.997612
1991-01-17	1.047771
1991-01-18	1.086784
1991-01-21	1.136943
1991-01-22	1.164809
1991-01-23	1.159236
1991-01-24	1.231688
1991-01-25	1.253982
1991-01-28	1.292994
1991-01-29	1.253982
1991-01-30	1.276274
1991-01-31	1.253982
1991-02-01	1.259554
1991-02-04	1.365446
1991-02-05	1.415605
1991-02-06	1.421179
1991-02-07	1.371020
1991-02-08	1.371020
1991-02-11	1.449045
1991-02-12	1.454618
1991-02-13	1.465765
1991-02-14	1.404459
1991-02-15	1.443472
1991-02-19	1.415605
1991-02-20	1.354300
1991-02-21	1.309713
1991-02-22	1.337580
1991-02-25	1.354300
1991-02-26	1.309713
1991-02-27	1.315287
1991-02-28	1.304141
1991-03-01	1.354300
1991-03-04	1.417808
1991-03-05	1.470538
1991-03-06	1.470538
1991-03-07	1.417808
1991-03-08	1.406091
1991-03-11	1.411950
1991-03-12	1.411950
1991-03-13	1.441243
1991-03-14	1.476395
1991-03-15	1.470538
1991-03-18	1.452961
1991-03-19	1.411950
1991-03-20	1.394373
1991-03-21	1.394373
1991-03-22	1.382656
1991-03-25	1.470538
1991-03-26	1.581853
1991-03-27	1.628722
1991-03-28	1.622863
1991-04-01	1.622863
1991-04-02	1.652156
1991-04-03	1.693168
1991-04-04	1.722461
1991-04-05	1.722461
1991-04-08	1.675591
1991-04-09	1.646298
1991-04-10	1.622863
1991-04-11	1.681450
1991-04-12	1.722461
1991-04-15	1.722461
1991-04-16	1.745897
1991-04-17	1.827918
1991-04-18	1.880647
1991-04-19	1.845494
1991-04-22	1.734179
1991-04-23	1.728320
1991-04-24	1.751755
1991-04-25	1.745897
1991-04-26	1.734179
1991-04-29	1.734179
1991-04-30	1.728320
1991-05-01	1.740038
1991-05-02	1.745897
1991-05-03	1.734179
1991-05-06	1.722461
1991-05-07	1.734179
1991-05-08	1.745897
1991-05-09	1.734179
1991-05-10	1.740038
1991-05-13	1.745897
1991-05-14	1.734179
1991-05-15	1.722461
1991-05-16	1.734179
1991-05-17	1.681450
1991-05-20	1.704885
1991-05-21	1.740038
1991-05-22	1.751755
1991-05-23	1.757614
1991-05-24	1.781049
1991-05-28	1.874788
1991-05-29	1.933375
1991-05-30	1.939233
1991-05-31	1.974387
1991-06-03	2.070567
1991-06-04	2.064495
1991-06-05	2.028062
1991-06-06	2.046279
1991-06-07	2.040207
1991-06-10	2.009846
1991-06-11	2.015919
1991-06-12	1.943054
1991-06-13	1.936982
1991-06-14	1.973414
1991-06-17	1.967342
1991-06-18	1.997704
1991-06-19	1.973414
1991-06-20	1.936982
1991-06-21	1.949126
1991-06-24	1.936982
1991-06-25	1.851974
1991-06-26	1.858046
1991-06-27	1.797324
1991-06-28	1.736605
1991-07-01	1.797324
1991-07-02	1.815541
1991-07-03	1.791253
1991-07-05	1.797324
1991-07-08	1.779109
1991-07-09	1.809469
1991-07-10	1.821613
1991-07-11	1.797324
1991-07-12	1.797324
1991-07-15	1.833757
1991-07-16	1.870190
1991-07-17	1.839830
1991-07-18	1.845901
1991-07-19	1.797324
1991-07-22	1.700172
1991-07-23	1.688028
1991-07-24	1.675885
1991-07-25	1.675885
1991-07-26	1.669813
1991-07-29	1.663740
1991-07-30	1.675885
1991-07-31	1.688028
1991-08-01	1.694101
1991-08-02	1.688028
1991-08-05	1.681957
1991-08-06	1.700172
1991-08-07	1.694101
1991-08-08	1.730533
1991-08-09	1.748749
1991-08-12	1.785181
1991-08-13	1.876262
1991-08-14	1.888405
1991-08-15	1.845901
1991-08-16	1.815541
1991-08-19	1.803398
1991-08-20	1.809469
1991-08-21	1.851974
1991-08-22	1.851974
1991-08-23	1.839830
1991-08-26	1.845901
1991-08-27	1.864117
1991-08-28	1.924838
1991-08-29	1.918766
1991-08-30	1.949299
1991-09-03	1.924066
1991-09-04	1.930374
1991-09-05	1.911448
1991-09-06	1.911448
1991-09-09	1.911448
1991-09-10	1.873599
1991-09-11	1.873599
1991-09-12	1.892523
1991-09-13	1.829439
1991-09-16	1.854674
1991-09-17	1.886215
1991-09-18	1.879906
1991-09-19	1.886215
1991-09-20	1.898831
1991-09-23	1.854674
1991-09-24	1.842055
1991-09-25	1.835747
1991-09-26	1.816822
1991-09-27	1.797897
1991-09-30	1.797897
1991-10-01	1.823130
1991-10-02	1.791588
1991-10-03	1.766355
1991-10-04	1.760047
1991-10-07	1.753737
1991-10-08	1.741122
1991-10-09	1.690654
1991-10-10	1.684347
1991-10-11	1.734814
1991-10-14	1.823130
1991-10-15	1.905140
1991-10-16	1.930374
1991-10-17	1.924066
1991-10-18	1.930374
1991-10-21	1.917757
1991-10-22	1.879906
1991-10-23	1.892523
1991-10-24	1.867290
1991-10-25	1.854674
1991-10-28	1.886215
1991-10-29	1.879906
1991-10-30	1.886215
1991-10-31	1.886215
1991-11-01	1.879906
1991-11-04	1.898831
1991-11-05	1.898831
1991-11-06	1.917757
1991-11-07	1.955608
1991-11-08	1.968224
1991-11-11	1.961915
1991-11-12	1.968224
1991-11-13	1.968224
1991-11-14	1.968224
1991-11-15	1.924066
1991-11-18	1.879906
1991-11-19	1.804206
1991-11-20	1.785280
1991-11-21	1.772663
1991-11-22	1.753737
1991-11-25	1.747430
1991-11-26	1.741122
1991-11-27	1.747430
1991-11-29	1.734814
1991-12-02	1.845826
1991-12-03	1.911748
1991-12-04	1.911748
1991-12-05	1.859010
1991-12-06	1.832641
1991-12-09	1.885379
1991-12-10	1.885379
1991-12-11	1.891972
1991-12-12	1.918341
1991-12-13	1.951301
1991-12-16	1.931525
1991-12-17	1.898564
1991-12-18	1.924932
1991-12-19	1.938117
1991-12-20	1.990855
1991-12-23	2.056778
1991-12-24	2.076554
1991-12-26	2.162252
1991-12-27	2.155660
1991-12-30	2.135884
1991-12-31	2.142476
1992-01-02	2.129291
1992-01-03	2.182030
1992-01-06	2.294098
1992-01-07	2.274321
1992-01-08	2.353428
1992-01-09	2.261138
1992-01-10	2.214990
1992-01-13	2.175438
1992-01-14	2.320467
1992-01-15	2.399574
1992-01-16	2.425944
1992-01-17	2.366614
1992-01-20	2.267729
1992-01-21	2.254545
1992-01-22	2.294098
1992-01-23	2.307282
1992-01-24	2.320467
1992-01-27	2.327060
1992-01-28	2.320467
1992-01-29	2.320467
1992-01-30	2.333651
1992-01-31	2.313875
1992-02-03	2.294098
1992-02-04	2.307282
1992-02-05	2.320467
1992-02-06	2.392983
1992-02-07	2.392983
1992-02-10	2.379798
1992-02-11	2.360021
1992-02-12	2.399574
1992-02-13	2.406167
1992-02-14	2.392983
1992-02-18	2.353428
1992-02-19	2.320467
1992-02-20	2.373204
1992-02-21	2.399574
1992-02-24	2.412758
1992-02-25	2.425944
1992-02-26	2.452312
1992-02-27	2.472088
1992-02-28	2.505050
1992-03-02	2.599220
1992-03-03	2.606025
1992-03-04	2.558395
1992-03-05	2.510766
1992-03-06	2.429114
1992-03-09	2.449526
1992-03-10	2.476744
1992-03-11	2.435919
1992-03-12	2.456331
1992-03-13	2.449526
1992-03-16	2.395093
1992-03-17	2.463135
1992-03-18	2.449526
1992-03-19	2.510766
1992-03-20	2.578808
1992-03-23	2.497157
1992-03-24	2.524374
1992-03-25	2.544786
1992-03-26	2.544786
1992-03-27	2.476744
1992-03-30	2.483549
1992-03-31	2.476744
1992-04-01	2.449526
1992-04-02	2.408701
1992-04-03	2.401897
1992-04-06	2.456331
1992-04-07	2.449526
1992-04-08	2.415506
1992-04-09	2.456331
1992-04-10	2.449526
1992-04-13	2.442724
1992-04-14	2.524374
1992-04-15	2.537983
1992-04-16	2.531178
1992-04-20	2.572004
1992-04-21	2.646851
1992-04-22	2.687676
1992-04-23	2.680872
1992-04-24	2.619633
1992-04-27	2.592415
1992-04-28	2.565198
1992-04-29	2.592415
1992-04-30	2.599220
1992-05-01	2.599220
1992-05-04	2.633242
1992-05-05	2.640046
1992-05-06	2.660459
1992-05-07	2.653654
1992-05-08	2.653654
1992-05-11	2.680872
1992-05-12	2.667263
