date	spy	vix	xle
2000-01-03	99.978989	24.209999	17.263828
2000-01-04	96.069160	27.010000	16.938866
2000-01-05	96.241058	26.410000	17.385691
2000-01-06	94.694298	25.730000	18.055933
2000-01-07	100.193771	21.719999	18.248880
2000-01-10	100.537498	21.709999	18.096556
2000-01-11	99.334465	22.500000	18.116863
2000-01-12	98.346275	22.840000	18.035620
2000-01-13	99.678200	21.709999	18.350430
2000-01-14	101.031601	19.660000	18.238729
2000-01-18	100.236732	21.500000	18.462141
2000-01-19	101.053101	21.719999	18.401211
2000-01-20	99.506310	21.750000	18.401211
2000-01-21	99.291527	20.820000	18.908962
2000-01-24	96.477333	24.070000	18.238729
2000-01-25	97.572945	23.020000	18.198105
2000-01-26	96.799530	23.030001	17.913755
2000-01-27	96.412888	23.540001	17.548176
2000-01-28	93.405365	26.139999	17.345066
2000-01-31	95.940262	24.950001	17.751268
2000-02-01	96.885498	23.450001	17.710659
2000-02-02	96.971420	23.120001	17.822357
2000-02-03	98.432213	22.010000	17.609104
2000-02-04	98.024063	21.540001	17.101345
2000-02-07	97.873688	22.790001	17.294296
2000-02-08	99.205544	21.250000	17.141964
2000-02-09	97.121796	22.900000	16.573271
2000-02-10	97.315163	23.070000	16.918550
2000-02-11	95.338791	24.420000	16.715448
2000-02-14	95.897346	24.379999	16.979488
2000-02-15	96.982185	22.920000	17.690346
2000-02-16	95.553596	23.510000	17.771589
2000-02-17	95.059464	23.170000	17.751268
2000-02-18	93.018692	26.000000	17.233358
2000-02-22	92.782364	25.860001	17.081034
2000-02-23	93.877975	23.889999	16.634216
2000-02-24	91.987495	24.379999	16.451410
2000-02-25	91.654541	25.200001	16.126448
2000-02-28	93.577179	24.680000	16.613905
2000-02-29	94.479424	23.370001	16.999786
2000-03-01	95.166924	21.639999	17.426311
2000-03-02	95.231346	21.059999	17.751268
2000-03-03	97.014389	19.209999	17.466927
2000-03-06	96.069160	21.500000	17.365379
2000-03-07	94.210960	24.309999	18.563698
2000-03-08	94.092773	23.820000	18.259035
2000-03-09	96.842514	22.209999	18.279350
2000-03-10	96.326973	21.240000	18.035620
2000-03-13	95.274323	22.850000	17.771589
2000-03-14	93.920921	24.410000	17.994999
2000-03-15	96.112129	22.340000	17.913755
2000-03-16	100.601952	20.770000	18.685553
2000-03-17	101.266808	22.370001	18.116417
2000-03-20	100.749916	22.959999	17.831135
2000-03-21	102.817474	21.700001	18.401728
2000-03-22	103.442078	21.490000	18.259075
2000-03-23	105.208046	22.260000	18.238697
2000-03-24	105.832642	23.309999	18.279453
2000-03-27	104.712746	24.530001	18.340591
2000-03-28	104.109695	24.860001	18.259075
2000-03-29	104.217415	24.100000	19.216858
2000-03-30	102.472870	25.469999	19.216858
2000-03-31	103.635895	24.110001	19.114971
2000-04-03	104.238907	24.030001	19.441025
2000-04-04	103.463585	27.120001	19.196484
2000-04-05	102.817474	28.410000	18.625891
2000-04-06	103.711281	27.150000	19.114971
2000-04-07	104.368141	24.389999	18.819477
2000-04-10	103.958977	25.990000	18.544369
2000-04-11	103.657433	27.250000	18.870430
2000-04-12	100.814575	28.980000	19.033463
2000-04-13	99.414665	29.400000	18.992702
2000-04-14	93.728897	33.490002	18.585129
2000-04-17	97.002510	28.950001	18.136797
2000-04-18	99.565407	26.120001	18.228506
2000-04-19	98.639297	27.020000	18.625891
2000-04-20	99.113129	25.850000	18.656452
2000-04-24	98.036324	27.370001	18.860243
2000-04-25	102.106766	25.240000	18.890802
2000-04-26	100.954559	26.969999	19.135342
2000-04-27	100.620705	26.190001	19.400265
2000-04-28	99.996140	26.200001	18.829676
2000-05-01	101.352997	25.879999	19.135342
2000-05-02	99.328461	28.500000	19.410456
2000-05-03	97.002510	31.629999	18.911184
2000-05-04	97.734795	30.770000	19.400265
2000-05-05	98.919250	27.530001	19.604053
2000-05-08	98.176285	28.200001	19.848591
2000-05-09	97.390152	28.930000	19.858780
2000-05-10	95.193420	29.870001	19.919916
2000-05-11	97.368637	27.760000	20.541458
2000-05-12	98.423950	26.049999	20.612782
2000-05-15	100.125336	24.860001	21.040728
2000-05-16	101.094513	24.340000	20.633160
2000-05-17	100.039223	23.980000	20.735048
2000-05-18	98.811630	23.959999	20.704489
2000-05-19	97.260963	25.440001	20.745237
2000-05-22	96.528709	26.000000	20.572029
2000-05-23	95.107262	25.870001	20.490519
2000-05-24	96.657921	24.320000	20.510893
2000-05-25	94.999550	24.580000	20.133886
2000-05-26	95.107262	24.469999	20.144083
2000-05-30	98.208557	23.620001	20.429379
2000-05-31	98.423950	23.650000	21.040728
2000-06-01	100.146919	22.360001	20.847136
2000-06-02	101.891388	21.480000	20.133886
2000-06-05	101.396027	22.709999	19.848591
2000-06-06	100.943787	23.049999	20.622969
2000-06-07	101.643707	22.480000	20.358053
2000-06-08	101.245308	22.770000	20.459944
2000-06-09	101.029938	22.139999	20.327488
2000-06-12	99.845406	22.320000	20.786001
2000-06-13	101.719116	21.670000	20.786001
2000-06-14	101.891388	21.480000	20.755432
2000-06-15	102.106766	20.680000	20.459944
2000-06-16	101.267807	20.500000	20.804613
2000-06-19	102.563080	20.629999	20.630560
2000-06-20	102.196060	20.879999	20.517941
2000-06-21	102.152893	20.610001	20.886526
2000-06-22	100.598564	22.000000	20.333651
2000-06-23	99.735085	22.340000	20.589607
2000-06-26	101.019554	22.450001	20.425793
2000-06-27	100.274765	21.799999	20.282446
2000-06-28	100.555374	20.290001	20.108393
2000-06-29	99.605530	19.700001	20.149349
